geoid,state_abb,county,tract,geographic_area_name,total,english_only,spanish,french,west_germanic_languages,slavic_languages,indo_european,korean,chinese,vietnamese,tagalog,asian_others,arabic,west_european,east_se_asian,unspecified,state,geography
06001400100,CA,Alameda County,4001,Census Tract 4001; Alameda County; California,1316,917,117,29,25,10,64,13,91,7,0,17,18,54,128,8,California,1400000US06001400100
06059087404,CA,Orange County,874.04,Census Tract 874.04; Orange County; California,989,143,755,0,0,0,0,6,10,62,9,0,4,0,87,0,California,1400000US06059087404
06059087405,CA,Orange County,874.05,Census Tract 874.05; Orange County; California,1254,207,939,0,0,0,33,11,13,12,39,0,0,0,75,0,California,1400000US06059087405
06059087503,CA,Orange County,875.03,Census Tract 875.03; Orange County; California,1810,568,965,0,36,0,32,0,0,163,29,12,0,36,204,5,California,1400000US06059087503
06059087504,CA,Orange County,875.04,Census Tract 875.04; Orange County; California,1634,367,974,0,0,0,9,0,0,137,63,84,0,0,284,0,California,1400000US06059087504
06059087505,CA,Orange County,875.05,Census Tract 875.05; Orange County; California,1241,338,686,9,0,28,7,32,12,45,69,0,15,9,158,0,California,1400000US06059087505
06059087601,CA,Orange County,876.01,Census Tract 876.01; Orange County; California,1273,352,653,0,0,0,46,18,13,145,46,0,0,0,222,0,California,1400000US06059087601
06059087602,CA,Orange County,876.02,Census Tract 876.02; Orange County; California,2115,598,925,15,0,0,44,47,14,422,0,31,19,15,514,0,California,1400000US06059087602
06059087701,CA,Orange County,877.01,Census Tract 877.01; Orange County; California,1562,430,382,20,7,0,108,0,87,312,47,47,77,27,493,45,California,1400000US06059087701
06059087703,CA,Orange County,877.03,Census Tract 877.03; Orange County; California,1638,288,706,15,0,0,83,8,0,487,28,6,0,15,529,17,California,1400000US06059087703
06059087704,CA,Orange County,877.04,Census Tract 877.04; Orange County; California,1201,328,411,8,9,0,10,9,42,294,40,13,37,17,398,0,California,1400000US06059087704
06059087801,CA,Orange County,878.01,Census Tract 878.01; Orange County; California,1604,438,574,0,0,8,5,53,68,289,78,10,72,0,498,9,California,1400000US06059087801
06059087802,CA,Orange County,878.02,Census Tract 878.02; Orange County; California,2653,848,1029,0,0,21,13,50,100,257,84,92,159,0,583,0,California,1400000US06059087802
06059087803,CA,Orange County,878.03,Census Tract 878.03; Orange County; California,1608,335,706,0,0,0,13,35,51,375,30,7,56,0,498,0,California,1400000US06059087803
06059087805,CA,Orange County,878.05,Census Tract 878.05; Orange County; California,1774,395,863,0,0,13,42,0,20,289,46,36,43,0,391,27,California,1400000US06059087805
06059087806,CA,Orange County,878.06,Census Tract 878.06; Orange County; California,1632,326,866,0,0,0,15,0,0,243,92,22,68,0,357,0,California,1400000US06059087806
06059087901,CA,Orange County,879.01,Census Tract 879.01; Orange County; California,1401,446,441,0,0,0,0,117,43,270,44,40,0,0,514,0,California,1400000US06059087901
06059087902,CA,Orange County,879.02,Census Tract 879.02; Orange County; California,1368,205,692,0,0,0,12,15,0,407,13,16,0,0,451,8,California,1400000US06059087902
06059088001,CA,Orange County,880.01,Census Tract 880.01; Orange County; California,1203,436,251,0,0,0,6,16,40,406,28,20,0,0,510,0,California,1400000US06059088001
06059088002,CA,Orange County,880.02,Census Tract 880.02; Orange County; California,1274,462,287,0,0,0,39,17,0,377,48,16,0,0,458,28,California,1400000US06059088002
06059088101,CA,Orange County,881.01,Census Tract 881.01; Orange County; California,683,269,179,0,0,0,33,13,25,84,31,49,0,0,202,0,California,1400000US06059088101
06059088104,CA,Orange County,881.04,Census Tract 881.04; Orange County; California,1614,465,590,0,0,9,103,62,0,315,31,21,18,0,429,0,California,1400000US06059088104
06059088105,CA,Orange County,881.05,Census Tract 881.05; Orange County; California,1123,192,280,5,0,0,4,31,12,527,30,33,9,5,633,0,California,1400000US06059088105
06059088106,CA,Orange County,881.06,Census Tract 881.06; Orange County; California,1962,692,496,0,0,0,25,78,55,506,22,47,11,0,708,30,California,1400000US06059088106
06059088107,CA,Orange County,881.07,Census Tract 881.07; Orange County; California,1745,380,312,0,0,0,9,111,24,851,24,16,11,0,1026,7,California,1400000US06059088107
06059088201,CA,Orange County,882.01,Census Tract 882.01; Orange County; California,1007,246,374,0,0,0,16,28,16,301,14,0,12,0,359,0,California,1400000US06059088201
06059088202,CA,Orange County,882.02,Census Tract 882.02; Orange County; California,1027,371,223,0,9,0,16,52,40,288,8,20,0,9,408,0,California,1400000US06059088202
06059088203,CA,Orange County,882.03,Census Tract 882.03; Orange County; California,1461,439,339,0,9,0,2,16,50,484,85,0,0,9,635,37,California,1400000US06059088203
06059088301,CA,Orange County,883.01,Census Tract 883.01; Orange County; California,1564,460,370,6,0,0,0,50,33,504,98,27,16,6,712,0,California,1400000US06059088301
06059088302,CA,Orange County,883.02,Census Tract 883.02; Orange County; California,1863,636,415,21,0,35,9,60,30,519,45,50,43,21,704,0,California,1400000US06059088302
06059088401,CA,Orange County,884.01,Census Tract 884.01; Orange County; California,1446,366,482,0,0,0,38,8,20,522,10,0,0,0,560,0,California,1400000US06059088401
06059088402,CA,Orange County,884.02,Census Tract 884.02; Orange County; California,1198,335,480,0,20,13,42,0,33,258,10,7,0,20,308,0,California,1400000US06059088402
06059088403,CA,Orange County,884.03,Census Tract 884.03; Orange County; California,1814,436,822,0,0,0,70,36,38,339,7,48,10,0,468,8,California,1400000US06059088403
06059088501,CA,Orange County,885.01,Census Tract 885.01; Orange County; California,1930,415,955,0,0,0,0,29,8,492,1,30,0,0,560,0,California,1400000US06059088501
06059088502,CA,Orange County,885.02,Census Tract 885.02; Orange County; California,1384,308,583,0,0,0,66,30,57,260,12,68,0,0,427,0,California,1400000US06059088502
06059088601,CA,Orange County,886.01,Census Tract 886.01; Orange County; California,2372,516,464,0,0,0,22,287,114,820,116,33,0,0,1370,0,California,1400000US06059088601
06059088602,CA,Orange County,886.02,Census Tract 886.02; Orange County; California,1266,335,377,0,0,13,0,111,0,324,43,22,41,0,500,0,California,1400000US06059088602
06059088701,CA,Orange County,887.01,Census Tract 887.01; Orange County; California,2108,442,521,0,9,0,82,146,36,762,68,32,0,9,1044,10,California,1400000US06059088701
06059088702,CA,Orange County,887.02,Census Tract 887.02; Orange County; California,1508,274,258,0,0,0,16,134,30,698,0,71,27,0,933,0,California,1400000US06059088702
06059088801,CA,Orange County,888.01,Census Tract 888.01; Orange County; California,2606,554,517,0,22,0,0,281,65,914,53,82,118,22,1395,0,California,1400000US06059088801
06059088802,CA,Orange County,888.02,Census Tract 888.02; Orange County; California,1480,393,286,0,0,0,45,2,69,602,38,45,0,0,756,0,California,1400000US06059088802
06059088901,CA,Orange County,889.01,Census Tract 889.01; Orange County; California,1887,336,346,0,0,0,119,12,65,962,11,12,4,0,1062,20,California,1400000US06059088901
06059088902,CA,Orange County,889.02,Census Tract 889.02; Orange County; California,1229,186,296,0,22,0,11,0,19,695,0,0,0,22,714,0,California,1400000US06059088902
06059088903,CA,Orange County,889.03,Census Tract 889.03; Orange County; California,2032,260,432,0,0,0,0,0,100,1156,38,0,21,0,1294,25,California,1400000US06059088903
06059088904,CA,Orange County,889.04,Census Tract 889.04; Orange County; California,1347,134,62,0,0,0,19,0,27,1069,0,8,28,0,1104,0,California,1400000US06059088904
06059088905,CA,Orange County,889.05,Census Tract 889.05; Orange County; California,1374,193,206,0,0,9,0,0,45,914,0,7,0,0,966,0,California,1400000US06059088905
06059089001,CA,Orange County,890.01,Census Tract 890.01; Orange County; California,1729,226,615,23,0,0,0,17,25,808,6,9,0,23,865,0,California,1400000US06059089001
06059089003,CA,Orange County,890.03,Census Tract 890.03; Orange County; California,1039,76,518,0,0,0,15,6,0,359,26,10,0,0,401,29,California,1400000US06059089003
06059089004,CA,Orange County,890.04,Census Tract 890.04; Orange County; California,2218,578,701,0,0,0,0,14,8,820,0,80,17,0,922,0,California,1400000US06059089004
06059089102,CA,Orange County,891.02,Census Tract 891.02; Orange County; California,1710,341,962,0,0,6,6,14,45,317,0,19,0,0,395,0,California,1400000US06059089102
06059089104,CA,Orange County,891.04,Census Tract 891.04; Orange County; California,1280,157,746,0,0,0,0,10,0,367,0,0,0,0,377,0,California,1400000US06059089104
06059089105,CA,Orange County,891.05,Census Tract 891.05; Orange County; California,1256,78,1010,0,0,10,0,0,0,158,0,0,0,0,158,0,California,1400000US06059089105
06059089106,CA,Orange County,891.06,Census Tract 891.06; Orange County; California,988,120,658,0,0,6,0,0,0,198,0,6,0,0,204,0,California,1400000US06059089106
06059089107,CA,Orange County,891.07,Census Tract 891.07; Orange County; California,1356,313,585,0,0,0,0,0,0,332,33,29,0,0,394,64,California,1400000US06059089107
06059099202,CA,Orange County,992.02,Census Tract 992.02; Orange County; California,1930,502,754,21,0,0,12,0,17,582,0,42,0,21,641,0,California,1400000US06059099202
06059099203,CA,Orange County,992.03,Census Tract 992.03; Orange County; California,1505,289,138,11,0,0,61,0,42,880,18,66,0,11,1006,0,California,1400000US06059099203
06059099204,CA,Orange County,992.04,Census Tract 992.04; Orange County; California,1539,513,131,0,0,0,25,0,0,810,27,33,0,0,870,0,California,1400000US06059099204
06059099212,CA,Orange County,992.12,Census Tract 992.12; Orange County; California,1729,946,292,102,0,22,12,11,71,176,7,31,59,102,296,0,California,1400000US06059099212
06059099214,CA,Orange County,992.14,Census Tract 992.14; Orange County; California,1266,947,47,47,0,0,72,0,0,73,51,22,7,47,146,0,California,1400000US06059099214
06059099215,CA,Orange County,992.15,Census Tract 992.15; Orange County; California,2185,1516,363,0,16,0,18,47,17,132,8,38,16,16,242,14,California,1400000US06059099215
06059099216,CA,Orange County,992.16,Census Tract 992.16; Orange County; California,1511,1119,218,10,0,23,7,0,0,95,10,13,16,10,118,0,California,1400000US06059099216
06059099217,CA,Orange County,992.17,Census Tract 992.17; Orange County; California,895,752,32,15,9,11,22,0,16,20,0,5,0,24,41,13,California,1400000US06059099217
06059099220,CA,Orange County,992.20,Census Tract 992.20; Orange County; California,2491,2132,116,10,11,0,77,0,0,60,27,58,0,21,145,0,California,1400000US06059099220
06059099222,CA,Orange County,992.22,Census Tract 992.22; Orange County; California,1566,486,183,0,16,0,26,9,18,738,8,70,12,16,843,0,California,1400000US06059099222
06059099223,CA,Orange County,992.23,Census Tract 992.23; Orange County; California,1733,205,329,0,30,9,50,0,76,861,0,75,98,30,1012,0,California,1400000US06059099223
06059099224,CA,Orange County,992.24,Census Tract 992.24; Orange County; California,957,478,68,0,0,0,10,0,45,344,3,9,0,0,401,0,California,1400000US06059099224
06059099225,CA,Orange County,992.25,Census Tract 992.25; Orange County; California,1196,407,44,0,40,10,9,7,37,342,8,239,53,40,633,0,California,1400000US06059099225
06059099226,CA,Orange County,992.26,Census Tract 992.26; Orange County; California,1243,518,152,0,36,0,40,0,17,402,21,34,23,36,474,0,California,1400000US06059099226
06059099227,CA,Orange County,992.27,Census Tract 992.27; Orange County; California,1967,629,448,0,0,3,34,27,95,600,28,58,27,0,808,18,California,1400000US06059099227
06059099229,CA,Orange County,992.29,Census Tract 992.29; Orange County; California,2324,1131,301,40,0,0,27,47,33,495,0,176,74,40,751,0,California,1400000US06059099229
06059099230,CA,Orange County,992.30,Census Tract 992.30; Orange County; California,1467,1010,138,0,6,0,19,8,58,182,0,37,0,6,285,9,California,1400000US06059099230
06059099231,CA,Orange County,992.31,Census Tract 992.31; Orange County; California,1661,998,192,0,4,18,18,39,106,197,21,35,33,4,398,0,California,1400000US06059099231
06059099232,CA,Orange County,992.32,Census Tract 992.32; Orange County; California,1978,1265,119,18,23,0,38,15,86,328,9,49,28,41,487,0,California,1400000US06059099232
06059099233,CA,Orange County,992.33,Census Tract 992.33; Orange County; California,955,480,72,13,0,26,23,41,43,190,14,26,27,13,314,0,California,1400000US06059099233
06059099234,CA,Orange County,992.34,Census Tract 992.34; Orange County; California,1162,571,62,7,0,0,64,12,63,315,0,42,26,7,432,0,California,1400000US06059099234
06059099235,CA,Orange County,992.35,Census Tract 992.35; Orange County; California,2340,1690,119,0,0,0,123,0,31,202,26,128,0,0,387,21,California,1400000US06059099235
06059099237,CA,Orange County,992.37,Census Tract 992.37; Orange County; California,1082,859,59,0,17,0,0,0,33,97,7,10,0,17,147,0,California,1400000US06059099237
06059099238,CA,Orange County,992.38,Census Tract 992.38; Orange County; California,1308,881,102,22,9,8,36,0,101,86,20,43,0,31,250,0,California,1400000US06059099238
06059099239,CA,Orange County,992.39,Census Tract 992.39; Orange County; California,1196,920,83,0,13,0,12,0,70,42,0,39,17,13,151,0,California,1400000US06059099239
06059099240,CA,Orange County,992.40,Census Tract 992.40; Orange County; California,2080,1662,132,75,0,14,45,0,36,21,21,74,0,75,152,0,California,1400000US06059099240
06059099241,CA,Orange County,992.41,Census Tract 992.41; Orange County; California,1741,921,157,0,19,45,60,155,44,274,0,30,36,19,503,0,California,1400000US06059099241
06059099242,CA,Orange County,992.42,Census Tract 992.42; Orange County; California,1165,727,205,28,16,0,13,0,21,134,0,21,0,44,176,0,California,1400000US06059099242
06059099243,CA,Orange County,992.43,Census Tract 992.43; Orange County; California,1829,1457,169,8,8,0,9,20,63,49,0,6,40,16,138,0,California,1400000US06059099243
06059099244,CA,Orange County,992.44,Census Tract 992.44; Orange County; California,1807,1300,332,34,30,12,20,7,17,21,8,26,0,64,79,0,California,1400000US06059099244
06059099245,CA,Orange County,992.45,Census Tract 992.45; Orange County; California,974,714,49,0,41,8,30,0,38,58,0,7,23,41,103,6,California,1400000US06059099245
06059099246,CA,Orange County,992.46,Census Tract 992.46; Orange County; California,1091,747,136,0,7,0,59,0,42,70,0,23,7,7,135,0,California,1400000US06059099246
06059099247,CA,Orange County,992.47,Census Tract 992.47; Orange County; California,780,80,240,0,0,0,0,0,0,444,5,6,5,0,455,0,California,1400000US06059099247
06059099248,CA,Orange County,992.48,Census Tract 992.48; Orange County; California,1501,279,700,0,0,0,35,17,0,460,10,0,0,0,487,0,California,1400000US06059099248
06059099249,CA,Orange County,992.49,Census Tract 992.49; Orange County; California,846,79,578,0,0,0,6,0,0,167,0,16,0,0,183,0,California,1400000US06059099249
06059099250,CA,Orange County,992.50,Census Tract 992.50; Orange County; California,1186,636,74,0,7,0,37,7,43,180,3,84,115,7,317,0,California,1400000US06059099250
06059099251,CA,Orange County,992.51,Census Tract 992.51; Orange County; California,2159,902,295,0,18,0,107,28,59,401,33,158,112,18,679,46,California,1400000US06059099251
06059099305,CA,Orange County,993.05,Census Tract 993.05; Orange County; California,3228,2497,459,0,11,75,49,0,0,56,30,37,14,11,123,0,California,1400000US06059099305
06059099306,CA,Orange County,993.06,Census Tract 993.06; Orange County; California,2988,2413,302,28,14,11,18,0,4,95,0,55,0,42,154,48,California,1400000US06059099306
06059099307,CA,Orange County,993.07,Census Tract 993.07; Orange County; California,1190,1061,51,8,20,0,10,0,23,7,0,0,10,28,30,0,California,1400000US06059099307
06059099308,CA,Orange County,993.08,Census Tract 993.08; Orange County; California,2046,1405,146,10,11,56,81,0,110,122,0,53,52,21,285,0,California,1400000US06059099308
06059099309,CA,Orange County,993.09,Census Tract 993.09; Orange County; California,2205,1819,150,36,0,0,75,0,0,78,0,13,34,36,91,0,California,1400000US06059099309
06059099310,CA,Orange County,993.10,Census Tract 993.10; Orange County; California,1919,1577,76,0,0,24,90,0,21,34,40,57,0,0,152,0,California,1400000US06059099310
06059099311,CA,Orange County,993.11,Census Tract 993.11; Orange County; California,1761,1376,116,31,16,11,83,9,8,78,9,24,0,47,128,0,California,1400000US06059099311
06059099402,CA,Orange County,994.02,Census Tract 994.02; Orange County; California,1999,766,965,0,0,0,11,0,0,217,11,29,0,0,257,0,California,1400000US06059099402
06059099404,CA,Orange County,994.04,Census Tract 994.04; Orange County; California,1571,1378,65,0,8,0,16,0,23,33,24,15,9,8,95,0,California,1400000US06059099404
06059099405,CA,Orange County,994.05,Census Tract 994.05; Orange County; California,1634,1208,136,4,0,3,0,26,20,50,24,59,104,4,179,0,California,1400000US06059099405
06059099406,CA,Orange County,994.06,Census Tract 994.06; Orange County; California,1614,1134,188,0,0,0,47,5,36,70,0,23,100,0,134,11,California,1400000US06059099406
06059099407,CA,Orange County,994.07,Census Tract 994.07; Orange County; California,862,615,58,0,14,0,24,16,0,56,34,29,16,14,135,0,California,1400000US06059099407
06059099408,CA,Orange County,994.08,Census Tract 994.08; Orange County; California,1516,1219,62,30,0,35,31,0,36,56,9,10,21,30,111,7,California,1400000US06059099408
06059099410,CA,Orange County,994.10,Census Tract 994.10; Orange County; California,1984,1239,265,0,0,36,161,0,0,213,0,21,49,0,234,0,California,1400000US06059099410
06059099411,CA,Orange County,994.11,Census Tract 994.11; Orange County; California,1917,1356,288,0,5,8,59,5,33,56,64,43,0,5,201,0,California,1400000US06059099411
06059099412,CA,Orange County,994.12,Census Tract 994.12; Orange County; California,1904,1384,191,10,0,48,72,0,11,60,33,19,76,10,123,0,California,1400000US06059099412
06059099415,CA,Orange County,994.15,Census Tract 994.15; Orange County; California,1854,1496,167,7,19,17,18,0,40,52,8,17,0,26,117,13,California,1400000US06059099415
06059099416,CA,Orange County,994.16,Census Tract 994.16; Orange County; California,2371,1796,133,15,91,76,8,0,31,57,24,140,0,106,252,0,California,1400000US06059099416
06059099417,CA,Orange County,994.17,Census Tract 994.17; Orange County; California,2303,1682,163,17,79,10,16,48,26,42,0,220,0,96,336,0,California,1400000US06059099417
06059099418,CA,Orange County,994.18,Census Tract 994.18; Orange County; California,1894,1206,127,0,0,65,93,28,36,177,0,138,24,0,379,0,California,1400000US06059099418
06059099419,CA,Orange County,994.19,Census Tract 994.19; Orange County; California,1517,919,259,0,5,79,96,0,25,67,0,3,64,5,95,0,California,1400000US06059099419
06059099502,CA,Orange County,995.02,Census Tract 995.02; Orange County; California,191,135,15,0,5,9,0,0,0,4,0,8,15,5,12,0,California,1400000US06059099502
06059099504,CA,Orange County,995.04,Census Tract 995.04; Orange County; California,1239,1011,70,0,5,13,4,0,39,8,0,8,81,5,55,0,California,1400000US06059099504
06059099506,CA,Orange County,995.06,Census Tract 995.06; Orange County; California,443,376,37,0,0,0,0,0,12,0,0,18,0,0,30,0,California,1400000US06059099506
06059099508,CA,Orange County,995.08,Census Tract 995.08; Orange County; California,2143,1770,116,8,69,29,25,0,0,15,17,61,15,77,93,18,California,1400000US06059099508
06059099509,CA,Orange County,995.09,Census Tract 995.09; Orange County; California,2309,1742,130,0,16,0,14,217,13,60,55,62,0,16,407,0,California,1400000US06059099509
06059099510,CA,Orange County,995.10,Census Tract 995.10; Orange County; California,3207,2278,288,12,7,75,95,224,85,0,16,88,39,19,413,0,California,1400000US06059099510
06059099511,CA,Orange County,995.11,Census Tract 995.11; Orange County; California,1640,1431,103,9,16,12,10,0,9,0,32,0,18,25,41,0,California,1400000US06059099511
06059099512,CA,Orange County,995.12,Census Tract 995.12; Orange County; California,1635,1348,137,0,21,43,49,0,9,19,0,9,0,21,37,0,California,1400000US06059099512
06059099513,CA,Orange County,995.13,Census Tract 995.13; Orange County; California,979,748,125,12,8,6,18,0,40,11,0,11,0,20,62,0,California,1400000US06059099513
06059099514,CA,Orange County,995.14,Census Tract 995.14; Orange County; California,2238,1553,254,22,24,0,119,0,155,111,0,0,0,46,266,0,California,1400000US06059099514
06059099601,CA,Orange County,996.01,Census Tract 996.01; Orange County; California,2231,474,625,0,0,0,0,0,29,813,50,240,0,0,1132,0,California,1400000US06059099601
06059099602,CA,Orange County,996.02,Census Tract 996.02; Orange County; California,960,479,233,0,0,0,41,15,63,120,5,4,0,0,207,0,California,1400000US06059099602
06059099603,CA,Orange County,996.03,Census Tract 996.03; Orange County; California,2110,1399,258,0,14,14,71,0,10,228,39,22,55,14,299,0,California,1400000US06059099603
06059099604,CA,Orange County,996.04,Census Tract 996.04; Orange County; California,1266,923,141,0,0,0,50,11,25,77,12,18,0,0,143,9,California,1400000US06059099604
06059099605,CA,Orange County,996.05,Census Tract 996.05; Orange County; California,2340,1685,220,0,29,11,101,13,97,153,20,0,11,29,283,0,California,1400000US06059099605
06059099701,CA,Orange County,997.01,Census Tract 997.01; Orange County; California,1859,424,355,0,0,0,0,0,33,986,17,25,19,0,1061,0,California,1400000US06059099701
06059099702,CA,Orange County,997.02,Census Tract 997.02; Orange County; California,2377,650,295,0,0,0,16,37,152,1141,60,26,0,0,1416,0,California,1400000US06059099702
06059099703,CA,Orange County,997.03,Census Tract 997.03; Orange County; California,2034,1126,173,10,26,0,6,19,51,558,27,13,25,36,668,0,California,1400000US06059099703
06059099801,CA,Orange County,998.01,Census Tract 998.01; Orange County; California,1809,468,677,6,0,0,0,0,0,632,10,12,0,6,654,4,California,1400000US06059099801
06059099802,CA,Orange County,998.02,Census Tract 998.02; Orange County; California,1745,525,346,0,10,0,10,21,26,745,11,17,34,10,820,0,California,1400000US06059099802
06059099803,CA,Orange County,998.03,Census Tract 998.03; Orange County; California,1621,326,252,0,0,9,0,22,50,910,32,0,0,0,1014,20,California,1400000US06059099803
06059099902,CA,Orange County,999.02,Census Tract 999.02; Orange County; California,1408,740,232,0,0,13,46,0,11,357,0,9,0,0,377,0,California,1400000US06059099902
06059099903,CA,Orange County,999.03,Census Tract 999.03; Orange County; California,1489,410,458,0,11,25,0,0,28,500,0,19,38,11,547,0,California,1400000US06059099903
06059099904,CA,Orange County,999.04,Census Tract 999.04; Orange County; California,1979,424,570,8,0,22,4,0,12,865,59,0,15,8,936,0,California,1400000US06059099904
06059099905,CA,Orange County,999.05,Census Tract 999.05; Orange County; California,1126,511,294,0,8,34,12,58,0,147,14,17,27,8,236,4,California,1400000US06059099905
06059099906,CA,Orange County,999.06,Census Tract 999.06; Orange County; California,1690,1227,112,0,0,0,21,21,18,186,37,68,0,0,330,0,California,1400000US06059099906
06059110001,CA,Orange County,1100.01,Census Tract 1100.01; Orange County; California,1478,1093,150,10,10,0,8,8,22,101,46,10,20,20,187,0,California,1400000US06059110001
06059110003,CA,Orange County,1100.03,Census Tract 1100.03; Orange County; California,1043,843,43,0,7,0,0,0,24,67,15,14,30,7,120,0,California,1400000US06059110003
06059110004,CA,Orange County,1100.04,Census Tract 1100.04; Orange County; California,1704,1262,215,0,17,0,36,37,12,48,6,63,0,17,166,8,California,1400000US06059110004
06059110005,CA,Orange County,1100.05,Census Tract 1100.05; Orange County; California,1138,829,150,6,0,0,29,0,30,50,31,13,0,6,124,0,California,1400000US06059110005
06059110006,CA,Orange County,1100.06,Census Tract 1100.06; Orange County; California,1156,847,176,12,0,32,47,17,0,20,0,5,0,12,42,0,California,1400000US06059110006
06059110007,CA,Orange County,1100.07,Census Tract 1100.07; Orange County; California,1663,1227,166,0,0,10,55,23,58,29,46,49,0,0,205,0,California,1400000US06059110007
06059110008,CA,Orange County,1100.08,Census Tract 1100.08; Orange County; California,1769,1350,124,12,23,0,107,11,11,10,50,37,25,35,119,9,California,1400000US06059110008
06059110010,CA,Orange County,1100.10,Census Tract 1100.10; Orange County; California,1297,785,113,7,41,0,28,58,53,106,58,44,4,48,319,0,California,1400000US06059110010
06059110011,CA,Orange County,1100.11,Census Tract 1100.11; Orange County; California,1042,652,135,10,0,0,6,107,29,49,20,17,0,10,222,17,California,1400000US06059110011
06059110012,CA,Orange County,1100.12,Census Tract 1100.12; Orange County; California,1917,1476,132,7,13,41,61,17,32,9,23,94,12,20,175,0,California,1400000US06059110012
06059110014,CA,Orange County,1100.14,Census Tract 1100.14; Orange County; California,1781,1107,375,0,64,42,14,15,47,11,56,25,25,64,154,0,California,1400000US06059110014
06059110015,CA,Orange County,1100.15,Census Tract 1100.15; Orange County; California,1244,917,162,45,46,0,6,0,38,8,15,7,0,91,68,0,California,1400000US06059110015
06059110102,CA,Orange County,1101.02,Census Tract 1101.02; Orange County; California,2015,940,255,0,5,6,51,274,97,59,180,104,30,5,714,14,California,1400000US06059110102
06059110104,CA,Orange County,1101.04,Census Tract 1101.04; Orange County; California,2029,838,289,0,25,0,23,471,44,92,83,50,85,25,740,29,California,1400000US06059110104
06059110106,CA,Orange County,1101.06,Census Tract 1101.06; Orange County; California,1145,704,179,0,0,18,8,78,58,21,20,46,5,0,223,8,California,1400000US06059110106
06059110108,CA,Orange County,1101.08,Census Tract 1101.08; Orange County; California,1115,595,248,34,0,0,47,30,22,9,13,72,0,34,146,45,California,1400000US06059110108
06059110109,CA,Orange County,1101.09,Census Tract 1101.09; Orange County; California,1935,852,299,0,12,0,116,277,111,67,37,131,26,12,623,7,California,1400000US06059110109
06059110110,CA,Orange County,1101.10,Census Tract 1101.10; Orange County; California,1661,642,444,0,34,0,48,162,38,37,164,68,17,34,469,7,California,1400000US06059110110
06059110111,CA,Orange County,1101.11,Census Tract 1101.11; Orange County; California,1899,779,287,0,56,0,121,154,152,46,164,59,65,56,575,16,California,1400000US06059110111
06059110113,CA,Orange County,1101.13,Census Tract 1101.13; Orange County; California,868,478,93,0,9,0,16,114,23,38,76,9,12,9,260,0,California,1400000US06059110113
06059110114,CA,Orange County,1101.14,Census Tract 1101.14; Orange County; California,1441,885,156,0,0,24,37,90,63,68,34,51,33,0,306,0,California,1400000US06059110114
06059110115,CA,Orange County,1101.15,Census Tract 1101.15; Orange County; California,1231,620,161,13,0,13,125,43,100,21,101,34,0,13,299,0,California,1400000US06059110115
06059110116,CA,Orange County,1101.16,Census Tract 1101.16; Orange County; California,1548,567,180,0,8,0,122,275,76,8,223,50,31,8,632,8,California,1400000US06059110116
06059110117,CA,Orange County,1101.17,Census Tract 1101.17; Orange County; California,2021,808,478,0,8,18,25,288,74,23,100,184,0,8,669,15,California,1400000US06059110117
06059110118,CA,Orange County,1101.18,Census Tract 1101.18; Orange County; California,746,293,33,6,0,5,30,88,168,41,9,44,29,6,350,0,California,1400000US06059110118
06059110201,CA,Orange County,1102.01,Census Tract 1102.01; Orange County; California,2465,1041,639,11,17,0,96,357,70,15,123,61,35,28,626,0,California,1400000US06059110201
06059110202,CA,Orange County,1102.02,Census Tract 1102.02; Orange County; California,2530,1058,481,18,0,73,87,156,47,92,268,153,64,18,716,33,California,1400000US06059110202
06059110203,CA,Orange County,1102.03,Census Tract 1102.03; Orange County; California,1846,1104,276,11,12,7,77,35,48,21,75,93,27,23,272,60,California,1400000US06059110203
06059110301,CA,Orange County,1103.01,Census Tract 1103.01; Orange County; California,2171,1055,376,0,0,0,80,180,120,23,245,35,0,0,603,57,California,1400000US06059110301
06059110302,CA,Orange County,1103.02,Census Tract 1103.02; Orange County; California,1596,537,655,0,10,0,75,30,22,23,216,17,11,10,308,0,California,1400000US06059110302
06059110303,CA,Orange County,1103.03,Census Tract 1103.03; Orange County; California,1495,679,358,0,0,0,79,89,52,69,102,43,0,0,355,24,California,1400000US06059110303
06059110304,CA,Orange County,1103.04,Census Tract 1103.04; Orange County; California,1199,477,242,0,0,0,93,99,60,22,140,40,26,0,361,0,California,1400000US06059110304
06059110401,CA,Orange County,1104.01,Census Tract 1104.01; Orange County; California,1526,616,416,0,0,0,0,150,34,5,192,92,0,0,473,21,California,1400000US06059110401
06059110402,CA,Orange County,1104.02,Census Tract 1104.02; Orange County; California,1390,384,597,0,0,0,21,113,22,51,164,6,32,0,356,0,California,1400000US06059110402
06059110500,CA,Orange County,1105,Census Tract 1105; Orange County; California,2477,816,1012,17,0,0,91,325,0,0,189,0,6,17,514,21,California,1400000US06059110500
06059110603,CA,Orange County,1106.03,Census Tract 1106.03; Orange County; California,2426,819,1093,0,28,0,28,447,0,0,0,11,0,28,458,0,California,1400000US06059110603
06059110604,CA,Orange County,1106.04,Census Tract 1106.04; Orange County; California,2783,767,412,19,58,0,68,967,127,40,52,273,0,77,1459,0,California,1400000US06059110604
06059110605,CA,Orange County,1106.05,Census Tract 1106.05; Orange County; California,2096,832,177,0,0,0,36,809,119,0,62,45,0,0,1035,16,California,1400000US06059110605
